Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""2"",""Afghanistan"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2009"",""0.43"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""2"",""Afghanistan"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2010"",""0.42"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""2"",""Afghanistan"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2011"",""0.40"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""2"",""Afghanistan"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2008"",""0.48"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""2"",""Afghanistan"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2009"",""0.51"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""2"",""Afghanistan"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2010"",""0.56"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""2"",""Afghanistan"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2011"",""0.55"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2008"",""14.71"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2009"",""13.68"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2010"",""14.01"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2011"",""13.70"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2008"",""9.74"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2009"",""10.23"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2010"",""9.69"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2011"",""9.63"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2008"",""12.75"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2009"",""13.74"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2010"",""14.30"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2011"",""13.41"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2008"",""0.07"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2009"",""0.04"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2010"",""0.09"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2011"",""0.04"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2008"",""2.53"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2009"",""3.29"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2010"",""2.55"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""3"",""Albania"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2011"",""2.17"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2008"",""5.33"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2009"",""5.73"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2010"",""4.60"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2731"",""Bovine Meat"",""2011"",""4.92"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2008"",""0.01"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2009"",""0.01"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2010"",""0.01"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2733"",""Pigmeat"",""2011"",""0.00"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2008"",""7.51"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2009"",""7.45"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2010"",""7.43"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2734"",""Poultry Meat"",""2011"",""7.41"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2008"",""0.33"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2009"",""0.33"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2010"",""0.34"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2735"",""Meat, Other"",""2011"",""0.36"",""Fc"",""Calculated data"""
"CL,""Food Supply - Livestock and Fish Primary Equivalent"",""4"",""Algeria"",""645"",""Food supply quantity (kg/capita/yr)"",""2737"",""Fats, Animals, Raw"",""2008"",""0.42"",""Fc"",""Calculated data"""
