Temperature (C);"	Year"; Month; Country; ISO3; ISO2
23,691168;2004;5;IRN;;
28,657124;2004;6;IRN;;
29,412964;2004;7;IRN;;
29,495584;2004;8;IRN;;
24,952564;2004;9;IRN;;
19,362392;2004;10;IRN;;
13,899714;2004;11;IRN;;
6,0804844;2004;12;IRN;;
5,2525644;2005;1;IRN;;
6,313533;2005;2;IRN;;
12,717379;2005;3;IRN;;
17,950996;2005;4;IRN;;
22,696724;2005;5;IRN;;
28,36111;2005;6;IRN;;
30,92735;2005;7;IRN;;
29,494019;2005;8;IRN;;
25,544872;2005;9;IRN;;
19,743876;2005;10;IRN;;
12,503276;2005;11;IRN;;
11,477065;2005;12;IRN;;
4,5858974;2006;1;IRN;;
9,808547;2006;2;IRN;;
13,521225;2006;3;IRN;;
18,895584;2006;4;IRN;;
23,230911;2006;5;IRN;;
28,853418;2006;6;IRN;;
30,815243;2006;7;IRN;;
29,394302;2006;8;IRN;;
24,810684;2006;9;IRN;;
20,877493;2006;10;IRN;;
12,439601;2006;11;IRN;;
4,8810544;2006;12;IRN;;
4,606553;2007;1;IRN;;
8,368661;2007;2;IRN;;
11,358689;2007;3;IRN;;
18,157265;2007;4;IRN;;
23,733618;2007;5;IRN;;
29,192022;2007;6;IRN;;
30,048435;2007;7;IRN;;
28,732193;2007;8;IRN;;
24,740314;2007;9;IRN;;
18,73248;2007;10;IRN;;
13,538176;2007;11;IRN;;
6,945727;2007;12;IRN;;
0,5290598;2008;1;IRN;;
6,0511394;2008;2;IRN;;
15,818804;2008;3;IRN;;
19,899715;2008;4;IRN;;
24,55228;2008;5;IRN;;
28,57906;2008;6;IRN;;
30,331196;2008;7;IRN;;
28,927637;2008;8;IRN;;
25,466808;2008;9;IRN;;
20,046438;2008;10;IRN;;
11,781909;2008;11;IRN;;
6,8269234;2008;12;IRN;;
5,023219;2009;1;IRN;;
9,9210825;2009;2;IRN;;
14,000285;2009;3;IRN;;
16,367664;2009;4;IRN;;
24,188747;2009;5;IRN;;
27,243448;2009;6;IRN;;
